# Please take the real part 
                  # kx (1/A)                    ky (1/A)                    kz (1/A)               real(Omega_x)               real(Omega_y)               real(Omega_z)
           -0.5396578848E+00            0.2884083479E+00            0.0000000000E+00            0.6527083424E+01           -0.1775597802E+00            0.5549890430E+01
           -0.5396578848E+00            0.2983534634E+00            0.0000000000E+00            0.6547995658E+01           -0.1839256059E+00            0.5671342081E+01
           -0.5396578848E+00            0.3082985788E+00            0.0000000000E+00            0.6552517311E+01           -0.1891368414E+00            0.5764044715E+01
           -0.5396578848E+00            0.3182436943E+00            0.0000000000E+00            0.6541751422E+01           -0.1933507510E+00            0.5831370283E+01
           -0.5396578848E+00            0.3281888097E+00            0.0000000000E+00            0.6516212030E+01           -0.1967036523E+00            0.5876128666E+01
           -0.5396578848E+00            0.3381339252E+00            0.0000000000E+00            0.6476009379E+01           -0.1993122641E+00            0.5900622835E+01
           -0.5396578848E+00            0.3480790406E+00            0.0000000000E+00            0.6421011788E+01           -0.2012761629E+00            0.5906730396E+01
           -0.5396578848E+00            0.3580241561E+00            0.0000000000E+00            0.6350979573E+01           -0.2026805604E+00            0.5895992521E+01
           -0.5396578848E+00            0.3679692715E+00            0.0000000000E+00            0.6265670675E+01           -0.2035989284E+00            0.5869698897E+01
           -0.5396578848E+00            0.3779143869E+00            0.0000000000E+00            0.6164919918E+01           -0.2040952287E+00            0.5828962597E+01
           -0.5396578848E+00            0.3878595024E+00            0.0000000000E+00            0.6048694860E+01           -0.2042256593E+00            0.5774782193E+01
           -0.5396578848E+00            0.3978046178E+00            0.0000000000E+00            0.5917131533E+01           -0.2040399303E+00            0.5708090590E+01
           -0.5396578848E+00            0.4077497333E+00            0.0000000000E+00            0.5770553403E+01           -0.2035821402E+00            0.5629791252E+01
           -0.5396578848E+00            0.4176948487E+00            0.0000000000E+00            0.5609476680E+01           -0.2028913472E+00            0.5540783180E+01
           -0.5396578848E+00            0.4276399642E+00            0.0000000000E+00            0.5434604870E+01           -0.2020019420E+00            0.5441976253E+01
           -0.5396578848E+00            0.4375850796E+00            0.0000000000E+00            0.5246815183E+01           -0.2009439110E+00            0.5334298632E+01
           -0.5396578848E+00            0.4475301951E+00            0.0000000000E+00            0.5047139077E+01           -0.1997430683E+00            0.5218697871E+01
           -0.5396578848E+00            0.4574753105E+00            0.0000000000E+00            0.4836738951E+01           -0.1984213088E+00            0.5096137215E+01
           -0.5396578848E+00            0.4674204260E+00            0.0000000000E+00            0.4616882647E+01           -0.1969969113E+00            0.4967588451E+01
           -0.5396578848E+00            0.4773655414E+00            0.0000000000E+00            0.4388917168E+01           -0.1954849025E+00            0.4834022451E+01
           -0.5396578848E+00            0.4873106568E+00            0.0000000000E+00            0.4154242700E+01           -0.1938974738E+00            0.4696398416E+01
           -0.5396578848E+00            0.4972557723E+00            0.0000000000E+00            0.3914287810E+01           -0.1922444344E+00            0.4555652628E+01
  
           -0.5286444585E+00           -0.4972557723E+00            0.0000000000E+00           -0.3894020897E+01           -0.3756172801E+00           -0.4250090173E+01
           -0.5286444585E+00           -0.4873106568E+00            0.0000000000E+00           -0.4132532816E+01           -0.3794231306E+00           -0.4387499552E+01
           -0.5286444585E+00           -0.4773655414E+00            0.0000000000E+00           -0.4365712618E+01           -0.3829156490E+00           -0.4522019540E+01
           -0.5286444585E+00           -0.4674204260E+00            0.0000000000E+00           -0.4592112315E+01           -0.3860317090E+00           -0.4652716763E+01
           -0.5286444585E+00           -0.4574753105E+00            0.0000000000E+00           -0.4810306156E+01           -0.3887060626E+00           -0.4778631839E+01
           -0.5286444585E+00           -0.4475301951E+00            0.0000000000E+00           -0.5018914564E+01           -0.3908730305E+00           -0.4898790285E+01
           -0.5286444585E+00           -0.4375850796E+00            0.0000000000E+00           -0.5216629425E+01           -0.3924683056E+00           -0.5012213218E+01
           -0.5286444585E+00           -0.4276399642E+00            0.0000000000E+00           -0.5402239965E+01           -0.3934307216E+00           -0.5117927072E+01
           -0.5286444585E+00           -0.4176948487E+00            0.0000000000E+00           -0.5574658136E+01           -0.3937038065E+00           -0.5214971390E+01
           -0.5286444585E+00           -0.4077497333E+00            0.0000000000E+00           -0.5732942196E+01           -0.3932369197E+00           -0.5302403522E+01
           -0.5286444585E+00           -0.3978046178E+00            0.0000000000E+00           -0.5876316866E+01           -0.3919857587E+00           -0.5379298898E+01
